VaryasyonID,Barkod,StokKodu,StokAdedi
19891,9000437544,SST-755,42
20016,9000451080,5002-S102,0
20088,9000437071,UPL-63003,0
20135,9000450755,ECY-101,1
20264,8681406512292,DLD-5043,5
20292,8681406509285,DLD-5039,4
20567,8681406511974,VNS-8100-2,109
20566,8681406511981,VNS-8100-2,162
20565,8681406511998,VNS-8100-2,31
20754,8681406502705,TKT-104,2
20755,8681406502729,TKT-104,7
20789,8681406502897,TKT-100,15
20786,8681406502866,TKT-100,8
20787,8681406502873,TKT-100,3
20795,8681406526244,TKT-101,1
20791,8681406526237,TKT-101,1
21262,9000437599,SST-765,48
21255,9000437592,SST-765,46
21362,8680557076370,UPL-80064-1,0
21554,8680570206273,001-018806,1
21558,8680570214957,001-018857,4
21557,8680570214964,001-018857,5
21556,8680570214971,001-018857,1
21559,8680570214940,001-018857,0
21719,9000451774,MSP-10000-46,2
21725,9000451780,MSP-10000-51,2
21734,8681406516054,SST-397,0
21899,9000437431,SST-049,49
21998,8696722848598,001-018281,2
21996,8696722848574,001-018281,3
22017,8680570131858,001-018563,3
22016,8680570131865,001-018563,3
22015,8680570131872,001-018563,2
22123,8690826150441,SMB1002BYZ,3
22233,9000437514,SST-750,36
22234,9000437515,SST-750,41
22243,9000437524,SST-750,47
22301,8681406503924,DLD-7004,1
22304,8681406524349,DLD-7009,1
22335,8681406521201,RBN-6012,19
22340,8680570258449,001-091072,0
22465,8680570141468,001-018051,0
22462,8696722402516,001-018051,12
22463,8696722402523,001-018051,9
22470,8680570451666,001-018052-1,5
22469,8696722649454,001-018052-1,1
22468,8696722649461,001-018052-1,4
22652,9000451121,SST-101,20
22676,9000437261,SST-420,42
22743,9000452440,MRN-1440,47
22897,9000452514,MRN-1640,49
22992,8681406516115,SST-346,13
23051,9000448461,SST-1577,49
23133,9000450648,TK-0148-1,32
23142,9000450657,TK-0148-2,18
23198,8681406516375,SST-308,17
23199,8681406516382,SST-308,16
23224,9000437417,SST-901,35
23257,9000452765,MRN-135,31
28572,233353498294,MRN-165,35
23265,9000452759,MRN-120,43
23380,9000442028,MCT-1753,28
23798,9000454451,FDS-8030-4,47
23858,9000454090,FDS-8037,43
23867,9000454496,FDS-8126,35
24167,9000454327,FDS-8096-3,48
24279,9000454239,FDS-8013,41
24280,9000454240,FDS-8013,37
24306,9000454274,FDS-8125,42
24311,9000454279,FDS-8127-3,42
24323,9000454291,FDS-8130,42
24319,9000454287,FDS-8130,44
24894,9000454379,FDS-8128-1,44
24907,9000454304,FDS-8139-2,20
25220,9000454416,FDS-8035-2,45
25606,9000454035,FDS-8089,45
25650,9000454027,FDS-8091,43
25679,9000453976,FDS-8063-2,45
25911,8681406515088,DLD-5005,6
25910,8681406515071,DLD-5005,1
25970,8681406511707,FML-353,1
25971,8681406511714,FML-354,1
25972,8681406511721,FML-355,7
26052,8681406514104,ECY-593,2
26063,8681406514012,ECY-590,2
26061,8681406513992,ECY-590,1
26093,8681406514838,ECY-640,3
