product_id,stok_kodu,miktar
24321,EB1695,0
24305,BB1720,0
24136,BRS226,1
24104,EB1692,10
24103,EB1691,3
24101,EB1689,2
24099,EB1687,2
23937,ERK434,1
23830,HH744,30
23673,HH696,8
23665,HH688,2
23021,EB1547,10
23020,EB1546,6
23018,EB1544,10
23016,EB1542,3
23015,EB1541,7
23014,EB1540,8
23013,EB1539,8
23011,EB1537,1
23010,EB1536,7
23007,EB1533,4
23005,EB1531,9
23002,EB1528,5
22823,EB1483,3
22822,EB1482,1
22821,EB1481,3
22820,EB1480,0
22819,EB1479,3
22818,EB1478,4
22817,EB1477,4
22816,EB1476,6
22808,EB1468,10
22807,EB1467,5
22806,EB1466,3
22797,EB1457,3
22792,EB1452,4
22703,HH627,16
22702,HH626,3
22668,HH612,3
22620,HH596,6
22617,HH592,3
22615,HH590,3
22614,HH589,7
22496,TSH830,3
22394,BS1578,12
22364,BKP3049,0
21933,TSH778,0
21812,BB1698,0
21645,BB1632,0
21643,BB1630,5
21631,BB1613,0
21628,BB1610,2
21612,BB1594,0
21575,EB1398,0
21574,EB1397,23
21564,EB1387,0
21537,BB1639,0
21298,TSH745,5
20888,SN332,8
20887,SN331,10
20886,SN330,1
20882,SN326,3
20880,SN324,2
20878,SN322,12
20873,SN317,1
20872,SN316,15
20846,SN310,7
20841,SN305,5
20840,SN304,11
20835,SN299,11
19836,SN280,17
19642,TSH723,2
18438,BB1467,0
15548,BKP2316,0
13634,BKP1813,3
13379,HH204,8
13373,HH198,0
12234,BKP1778,0
10753,"Clariss Kutu",296
9959,SN231,4
9945,SN217,0
7390,BLZ105,10
7164,EB848,7
7156,EB741,12
7076,BB961,3
7072,BB957,0
6776,EB1150,1
6395,EB845,0
5979,EB936,1
5533,EB697,30
29090,HH980-KS,7
29032,BYK1006-KS,11
29027,BYK1001-KS,35
29022,BYK996-KS,9
29021,BYK995-KS,11
29020,BYK994-KS,23
29010,BYK984-KS,11
28850,BB2440-KS,2
28848,BB2438-KS,17
28847,BB2437-KS,16
28842,BB2432-KS,15
28840,BB2430-KS,18
28839,BB2429-KS,16
28770,BB2423-KS,2
28769,BB2422-KS,1
28768,BB2421-KS,16
28762,BB2415-KS,8
28721,BB2407-KS,22
28711,BKP4277-KS,5
28710,BKP4276-KS,3
28709,BKP4275-KS,6
28707,BKP4273-KS,6
28706,BKP4272-KS,6
28705,BKP4271-KS,18
28697,BKP4263-KS,11
28691,BKP4257-KS,18
28689,BKO4107-KS,10
28688,BKO4106-KS,10
28685,BKO4103-KS,1
28353,BB2382-KS,13
28352,BB2381-KS,11
28351,BB2380-KS,10
28350,BB2379-KS,9
28345,BB2374-KS,10
28279,EK1101,2
28150,BKP4249-KS,6
28136,BKP4235-KS,8
28132,BKP4231-KS,11
28129,BKP4228-KS,9
28128,BKP4227-KS,11
28127,BKP4226-KS,4
28124,BKP4223-KS,3
28122,BKP4221-KS,11
28121,BKP4220-KS,10
28037,BS1938-KS,11
28005,BKO4077-KS,1
27977,BKP4211-KS,14
27963,BKP4197-KS,16
27932,BK2365,11
27614,ERK651-KS,12
27589,ERK626-KS,8
27523,ERK560-KS,14
27241,BKO4021-KS,0
27088,BKP4031-KS,3
27081,BKP4024-KS,1
27073,BKP4016-KS,10
27070,BKP4013-KS,2
27062,BKP4005-KS,14
26823,BKP3994-KS,16
26814,BKP3985-KS,17
26807,BKP3978-KS,18
26662,BK2256,8
26570,EB2063-KS,2
26546,EB2039-KS,10
26531,EB2024-KS,0
26523,EB2016-KS,7
26150,BKP3967-KS,4
26146,BKP3963-KS,10
25994,SGK1095-KS,8
25934,BS1784,13
25771,BKP3931,2
25734,BKO3852,8
25733,BKO3851,0
25646,BB1896,5
25614,BKO3867,15
25611,BKO3863,4
25610,BKO3862,16
25589,EB1880,0
25587,EB1878,7
25412,BKP3838,1
25387,BKP3900,2
25380,BKP3893,0
25374,BKP3887,4
24911,BKO3768,4
24728,BB1853,7
24720,BB1845,6
24022,BKP3690,0
24015,BKP3684,8
22890,BKP3294,0
22441,BKP3105,20
22161,BB1560,1
21548,BB1650,1
21544,BB1646,0
21153,BKP3023,0
21150,BKP3020,0
21082,BKP3007,0
21081,BKP3006,1
21078,BKP3003,0
21072,BKP2997,2
21064,BKP2990,0
21040,BKP2967,0
18734,BKP2733,1
18289,BKO2967,0
15234,BKP2203,0
14961,BKP2175,0
14944,BKP2158,0
13819,BKP1967,8
13810,BKP1958,0
13200,BKO2291,1
13189,BKO2280,4
11542,BKP1709,1
11341,BKO2101,6
11043,BKP1684,2
11013,BKP1654,0
11012,BKP1653,0
10909,BKP1385,27
10907,BKP1383,44
10868,BKO2016,3
